source,relation,target
270472006,INTERPRETS,3850002
14345008,IS_A,15863006
14345008,IS_A,129879003
14345008,INTERPRETS,405175009
14345008,INTERPRETS,224475003
14345008,INTERPRETS,3850002
161064007,IS_A,14345008
161064007,INTERPRETS,224475003
161064007,INTERPRETS,405175009
161064007,INTERPRETS,3850002
52184009,IS_A,248539004
52184009,IS_A,129879003
52184009,INTERPRETS,224475003
52184009,INTERPRETS,405175009
52184009,INTERPRETS,3850002
105483008,IS_A,365576006
105483008,IS_A,52184009
105483008,INTERPRETS,160852007
105483008,INTERPRETS,405175009
105483008,INTERPRETS,224475003
105483008,INTERPRETS,3850002
129873002,IS_A,129879003
129873002,IS_A,15863006
129873002,INTERPRETS,224475003
129873002,INTERPRETS,405175009
129873002,INTERPRETS,3850002
225642005,IS_A,247825008
225642005,IS_A,129879003
225642005,INTERPRETS,311465003
225642005,INTERPRETS,285854004
225642005,INTERPRETS,405175009
225642005,INTERPRETS,224475003
225642005,INTERPRETS,3850002
225639004,IS_A,225642005
225639004,INTERPRETS,311465003
225639004,INTERPRETS,285854004
225639004,INTERPRETS,405175009
225639004,INTERPRETS,224475003
225639004,INTERPRETS,3850002
225640002,IS_A,225642005
225640002,INTERPRETS,311465003
225640002,INTERPRETS,285854004
225640002,INTERPRETS,224475003
225640002,INTERPRETS,405175009
225640002,INTERPRETS,3850002
225641003,IS_A,225642005
225641003,INTERPRETS,311465003
225641003,INTERPRETS,285854004
225641003,INTERPRETS,405175009
225641003,INTERPRETS,224475003
225641003,INTERPRETS,3850002
401141001,IS_A,248539004
401141001,IS_A,129879003
401141001,INTERPRETS,405175009
401141001,INTERPRETS,224475003
401141001,INTERPRETS,3850002
406161008,IS_A,129879003
406161008,IS_A,27179007
406161008,INTERPRETS,224475003
406161008,INTERPRETS,405175009
406161008,INTERPRETS,3850002
52455008,IS_A,406161008
52455008,INTERPRETS,224475003
52455008,INTERPRETS,405175009
52455008,INTERPRETS,3850002
406160009,IS_A,406161008
406160009,INTERPRETS,224475003
406160009,INTERPRETS,405175009
406160009,INTERPRETS,3850002
169937006,IS_A,129879003
169937006,INTERPRETS,405175009
169937006,INTERPRETS,224475003
169937006,INTERPRETS,3850002
33590004,IS_A,169937006
33590004,INTERPRETS,405175009
33590004,INTERPRETS,224475003
33590004,INTERPRETS,3850002
423385005,IS_A,169937006
423385005,INTERPRETS,224475003
423385005,INTERPRETS,405175009
423385005,INTERPRETS,3850002
424364004,IS_A,129879003
424364004,INTERPRETS,224475003
424364004,INTERPRETS,405175009
424364004,INTERPRETS,3850002
424896002,IS_A,129879003
424896002,INTERPRETS,405175009
424896002,INTERPRETS,224475003
424896002,INTERPRETS,3850002
425275009,IS_A,129879003
425275009,IS_A,225481000
425275009,IS_A,422734005
425275009,INTERPRETS,224475003
425275009,INTERPRETS,405175009
425275009,INTERPRETS,3850002
422913006,IS_A,129879003
422913006,INTERPRETS,224475003
422913006,INTERPRETS,405175009
422913006,INTERPRETS,3850002
422596007,IS_A,25622003
422596007,IS_A,129880000
422596007,IS_A,129879003
422596007,INTERPRETS,224475003
422596007,INTERPRETS,405175009
422596007,INTERPRETS,3850002
473447008,IS_A,129879003
473447008,INTERPRETS,224475003
473447008,INTERPRETS,405175009
473447008,INTERPRETS,3850002
702469009,IS_A,129879003
702469009,INTERPRETS,405175009
702469009,INTERPRETS,224475003
702469009,INTERPRETS,3850002
702470005,IS_A,129879003
702470005,INTERPRETS,405175009
702470005,INTERPRETS,224475003
702470005,INTERPRETS,3850002
704305004,IS_A,129879003
704305004,INTERPRETS,224475003
704305004,INTERPRETS,405175009
704305004,INTERPRETS,3850002
129881001,IS_A,106024000
129881001,IS_A,844005
129881001,INTERPRETS,363896009
129881001,INTERPRETS,3850002
27179007,IS_A,106024000
27179007,INTERPRETS,3850002
151901000119101,IS_A,284465006
151901000119101,INTERPRETS,3850002
288571000119100,IS_A,284465006
288571000119100,INTERPRETS,3850002
115491000119105,IS_A,284465006
115491000119105,INTERPRETS,3850002
36456004,IS_A,384821006
36456004,INTERPRETS,3850002
106126000,IS_A,36456004
106126000,INTERPRETS,285854004
106126000,INTERPRETS,3850002
102893002,IS_A,106126000
102893002,INTERPRETS,285854004
102893002,INTERPRETS,3850002
417514002,IS_A,271893008
417514002,IS_A,162715009
417514002,IS_A,102893002
417514002,INTERPRETS,363896009
417514002,INTERPRETS,285854004
417514002,INTERPRETS,3850002
417694005,IS_A,417514002
417694005,INTERPRETS,363896009
417694005,INTERPRETS,285854004
417694005,INTERPRETS,3850002
416259003,IS_A,417514002
416259003,INTERPRETS,363896009
416259003,INTERPRETS,285854004
416259003,INTERPRETS,3850002
416443001,IS_A,417514002
416443001,INTERPRETS,363896009
416443001,INTERPRETS,285854004
416443001,INTERPRETS,3850002
102898006,IS_A,106126000
102898006,INTERPRETS,285854004
102898006,INTERPRETS,3850002
102899003,IS_A,102898006
102899003,IS_A,225481000
102899003,INTERPRETS,285854004
102899003,INTERPRETS,363896009
102899003,INTERPRETS,3850002
102900008,IS_A,102899003
102900008,INTERPRETS,285854004
102900008,INTERPRETS,363896009
102900008,INTERPRETS,3850002
102901007,IS_A,102899003
102901007,INTERPRETS,285854004
102901007,INTERPRETS,363896009
102901007,INTERPRETS,3850002
102902000,IS_A,102899003
102902000,INTERPRETS,285854004
102902000,INTERPRETS,363896009
102902000,INTERPRETS,3850002
102903005,IS_A,102899003
102903005,INTERPRETS,285854004
102903005,INTERPRETS,363896009
102903005,INTERPRETS,3850002
102904004,IS_A,102899003
102904004,INTERPRETS,285854004
102904004,INTERPRETS,363896009
102904004,INTERPRETS,3850002
423794002,IS_A,102899003
423794002,INTERPRETS,363896009
423794002,INTERPRETS,285854004
423794002,INTERPRETS,3850002
106131003,IS_A,106126000
106131003,INTERPRETS,285854004
106131003,INTERPRETS,3850002
102897001,IS_A,106131003
102897001,INTERPRETS,285854004
102897001,INTERPRETS,3850002
247672006,IS_A,106131003
247672006,INTERPRETS,285854004
247672006,INTERPRETS,3850002
247673001,IS_A,247672006
247673001,INTERPRETS,285854004
247673001,INTERPRETS,3850002
247694003,IS_A,106131003
247694003,INTERPRETS,285854004
247694003,INTERPRETS,3850002
276245005,IS_A,106131003
276245005,INTERPRETS,285854004
276245005,INTERPRETS,3850002
276247002,IS_A,106131003
276247002,INTERPRETS,285854004
